Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Belmont,OVC,"109.7
77","104.2
171","55.7
16","48.3
77","18.4
160","16.0
315","25.6
285","25.0
26","29.4
315","31.9
90","77.1
13","74.5
339","60.9
1","48.6
140","34.1
217","31.8
31"
Davidson,A10,"109.7
78","99.6
78","51.6
117","49.7
130","17.4
87","17.1
265","25.1
296","26.9
72","31.5
278","33.4
131","75.3
35","69.0
92","51.9
70","45.8
49","34.1
215","38.1
320"
Troy 15,SB,"109.6
79","107.3
225","51.6
122","50.1
152","17.8
113","17.6
226","30.8
114","29.8
207","40.1
57","32.8
115","72.5
102","72.4
278","50.9
108","49.5
174","35.1
165","34.1
117"
Missouri St.,MVC,"109.5
80","105.3
193","51.0
153","50.4
167","18.4
159","16.2
308","32.9
61","24.6
17","33.8
226","33.0
118","70.1
180","75.3
347","48.8
195","49.2
162","36.2
115","35.0
170"
Eastern Washington,BSky,"109.5
81","110.8
294","54.2
34","51.2
198","17.1
74","14.5
343","27.3
239","27.8
111","34.8
188","36.9
211","76.9
17","71.6
242","53.7
28","48.2
124","36.8
90","37.7
305"
Mercer,SC,"109.4
82","107.4
230","50.4
180","50.0
148","18.0
131","15.7
323","33.9
42","28.4
138","32.8
252","35.3
183","78.5
6","74.8
342","49.6
161","47.7
111","34.4
197","35.3
185"
South Carolina 7,SEC,"109.4
83","90.0
4","47.3
305","45.5
15","18.4
169","24.3
4","34.0
40","31.6
276","40.2
55","44.5
330","70.1
176","72.4
279","45.9
297","45.4
39","33.4
241","30.6
12"
BYU,WCC,"109.2
84","100.4
89","51.2
144","47.9
62","18.2
142","16.2
307","29.1
184","24.8
24","42.3
25","31.1
73","73.3
81","64.5
3","50.9
105","47.5
95","34.4
196","32.4
50"
St. John's,BE,"109.1
85","103.2
141","50.2
185","52.4
258","17.7
107","20.5
50","27.4
234","32.8
314","36.2
153","39.3
259","72.4
104","70.2
160","47.5
255","50.5
221","36.4
101","37.4
297"
Colorado St.,MWC,"109.1
86","101.1
98","48.3
262","46.8
31","16.1
30","16.9
273","31.3
95","28.8
158","38.2
90","31.8
86","72.6
99","68.2
53","46.6
280","46.6
68","34.1
216","31.4
24"
Texas A&M,SEC,"109.0
87","96.6
45","51.2
145","47.2
35","21.2
320","17.4
249","37.4
8","31.2
256","33.3
239","28.1
33","64.9
325","73.0
309","52.1
60","43.7
13","32.9
266","35.2
182"
LSU,SEC,"109.0
88","110.4
289","50.2
184","54.6
328","19.8
266","16.9
275","31.2
101","31.3
264","31.5
280","36.9
212","69.8
190","71.3
231","50.2
139","52.9
304","33.6
233","38.2
323"
Bucknell 13,Pat,"109.0
89","99.9
83","55.3
21","48.0
64","18.9
208","19.7
96","26.8
262","27.9
116","37.2
126","33.1
124","68.1
251","66.0
11","54.3
24","46.5
62","37.9
50","34.2
120"
South Dakota St. 16,Sum,"109.0
90","110.6
291","53.2
61","53.8
311","18.4
165","16.2
309","27.1
246","28.9
165","39.9
65","27.1
22","76.6
21","71.9
254","52.7
49","52.4
289","35.8
132","36.9
281"
Providence 11,BE,"108.9
91","95.4
31","51.4
126","49.6
123","18.4
164","20.3
59","26.4
270","28.6
156","38.1
93","30.5
63","69.1
217","67.6
35","49.1
183","49.9
197","37.1
75","32.8
64"
VCU 10,A10,"108.9
92","96.8
46","51.0
156","47.5
46","17.8
110","21.0
34","31.3
97","27.5
96","36.4
145","40.9
293","70.5
163","69.7
133","51.5
83","46.0
52","33.1
260","33.8
104"
Florida Gulf Coast 14,ASun,"108.8
93","104.3
173","53.9
44","49.3
116","17.9
122","17.4
245","33.8
45","29.6
193","33.8
225","35.9
196","69.6
202","68.2
56","55.4
14","51.0
235","33.7
231","31.0
16"
Toledo,MAC,"108.7
94","104.9
184","54.4
33","51.2
197","18.5
173","14.2
348","29.0
188","25.5
36","38.3
86","27.2
23","69.0
220","68.4
67","54.6
19","52.3
286","36.1
124","32.3
46"
Temple,Amer,"108.6
95","103.3
144","49.7
211","49.1
111","16.6
53","18.3
187","27.5
231","32.2
293","26.4
344","32.1
96","72.3
106","72.7
294","47.0
268","47.7
114","35.6
140","34.3
126"
Princeton 12,Ivy,"108.5
96","96.3
40","53.2
60","48.7
92","15.2
11","20.2
63","24.1
320","24.7
21","24.4
350","32.0
95","74.0
63","69.8
136","50.5
122","46.9
80","37.6
59","34.5
137"
Georgia,SEC,"108.5
97","96.9
47","48.1
276","47.2
36","18.6
184","16.7
285","28.9
195","28.2
128","40.7
43","34.2
156","75.9
28","69.9
145","48.3
215","45.4
36","31.8
309","33.6
94"
UMBC,AE,"108.4
98","110.9
296","54.0
41","52.4
257","16.3
41","17.7
219","24.4
313","27.3
89","35.0
178","35.1
178","75.2
40","71.9
255","51.5
85","52.2
278","38.5
31","35.2
180"
