Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
Harvard,Ivy,"107.0
105","102.1
165","53.8
19","47.5
106","22.4
284","21.7
80","30.9
225","30.6
82","44.8
37","41.6
252","76.5
4","70.7
260","53.6
11","45.8
88","36.1
81","34.1
170"
Green Bay,Horz,"107.0
106","102.6
171","49.7
130","49.4
187","19.1
108","20.4
168","32.2
188","34.7
264","34.6
255","36.3
143","75.0
15","70.2
242","46.6
215","49.1
231","37.3
50","33.4
128"
Michigan,B10,"106.9
107","96.1
58","47.5
231","50.1
226","16.3
14","22.8
39","29.2
283","34.7
265","28.7
330","25.9
7","71.9
78","68.0
119","49.8
90","50.5
286","29.7
319","32.8
102"
North Carolina,ACC,"106.9
108","95.7
54","48.0
203","47.1
90","20.8
194","18.8
257","39.0
14","32.7
171","37.3
177","24.5
3","65.3
283","69.9
228","47.6
181","44.9
58","32.8
228","34.3
186"
Nebraska,B12,"106.9
109","98.5
89","50.2
99","50.0
215","19.3
116","21.5
92","29.5
280","29.6
55","37.5
169","41.6
254","67.4
222","69.5
207","46.0
234","46.5
123","39.7
12","37.3
300"
Stanford,P10,"106.9
110","99.5
105","49.2
150","50.1
222","17.9
50","19.5
222","29.7
270","30.3
75","37.2
180","36.8
159","66.4
258","72.0
317","47.3
195","50.2
274","35.4
115","33.3
122"
TCU,MWC,"106.9
111","104.9
223","51.6
59","53.0
323","21.0
205","18.5
270","27.7
310","30.8
95","33.5
281","41.8
261","71.1
106","68.5
151","50.1
80","53.8
338","35.9
92","34.2
174"
Cincinnati,BE,"106.9
112","95.1
47","47.6
224","47.2
95","19.4
122","18.0
292","38.3
25","29.4
48","32.2
300","36.0
140","63.8
317","68.7
165","49.5
103","45.1
65","29.1
331","34.0
167"
SMU,CUSA,"106.7
113","103.0
181","51.6
56","50.2
229","21.7
248","18.4
276","33.2
155","29.5
52","42.0
74","31.7
58","70.6
115","73.3
335","50.8
62","47.4
152","35.4
116","36.3
273"
Southern Illinois,MVC,"106.6
114","101.3
148","51.7
52","49.7
201","20.1
156","20.7
145","30.1
261","28.8
35","37.4
172","45.6
297","69.0
169","72.4
326","50.9
59","49.2
232","35.5
110","33.8
152"
