Year,Round,SeedDiff,OffEff,DefEff,OffFgp,DefFgp,OffTop,DefTop,OffRp,DefRp,OffFtr,DefFtr,OffFtp,DefFtp,Off2pp,Def2pp,Off3pp,Def3pp,ScoreDiff
2019,1,1,8,5.7,2.8,1.9,-2.4,-5.4,-1.5,-1,9.6,-7.4,-5.2,-4,-1.1,0.7,6,2.8,15
2019,1,7,-7.5,2.6,1.3,-1.4,-2,1,-9.5,-3.2,-6,0.6,6.5,-4.1,3,-0.1,-0.9,-2.4,4
2019,1,-9,16.3,-2.2,8.9,2.1,-2,2.2,-6.4,2.1,-7.5,-7.2,16.3,0,5.7,2.3,9,1.3,14
2019,1,-11,7.1,-5.6,-4.4,2.6,0.1,4.9,10.4,6.2,7,2,1.7,-4.4,-3.1,1.6,-4.6,2.7,5
2019,1,-15,16.7,-16.5,0.4,-5.8,-2.4,-0.7,8,-5.9,-9.2,-1.3,2.8,-5.6,-1.1,-4.7,1.8,-4.8,15
2019,1,3,-2.6,3.2,-2.7,2.8,-0.4,0.8,2.3,2.5,6.7,-3.8,-9.5,-0.3,-2.1,2.7,-2.5,2,10
2019,1,-13,18.5,-9.2,5.5,-3.7,-0.3,-3.5,7.2,-0.3,-2.7,-8.1,6.2,-4.9,7.8,-4.6,0.8,-1.2,11
2019,1,1,-2.7,-4.7,-2.7,-3.5,-1.2,-3.3,-4.4,-1.5,0.4,-10.4,-8.6,-3.3,-3,-2.4,-1.2,-4.1,23
2019,1,-15,14.5,-17.1,-0.1,-3.4,-0.1,-0.2,10.2,-7.9,-6.6,-0.1,-0.2,-0.5,-1.1,-2.4,1.1,-3.1,15
2019,1,1,-5.9,-3.6,-1.8,1,1.6,6.9,-2.9,12.6,-2,-0.3,-5.5,-0.3,-2.3,3.8,-0.7,-1.9,17
2019,1,7,0,3,0.9,1.2,3.2,3.7,5.1,2.3,2.1,8.1,7.3,3.4,1.9,4.7,-0.8,-2.5,18
2019,1,-7,9.1,-2.8,0.3,2.8,-1,5.5,-5.4,10.3,-3.7,3.9,3.7,0.1,-5,3.4,4.1,1.3,1
2019,1,-9,3.5,-9.8,-3.9,-4.3,2.2,1.5,7.4,3.3,-1.8,0,-4.6,-4.9,-3.2,-7,-3.2,-0.1,34
2019,1,5,-10.5,-2.8,-4.4,-0.1,2.4,-0.6,-0.7,-4.2,3.7,8.2,0.2,2.4,-5.3,0.8,-2.1,-0.9,3
2019,1,9,-0.5,9.6,1.9,-4.1,0.1,-6.1,5.4,1.3,-1.9,2.3,3.9,3.7,1.2,-8.3,2.5,2.5,6
2019,1,-11,8.9,-10.6,-1.6,-7.8,0.1,-2.8,11.4,-7.8,-3.8,6.4,4.4,-0.6,0.1,-8.2,-2.6,-4.9,29
2019,1,-3,8.5,0.1,7.6,0.3,-1.4,-0.7,2.3,-4,-6.7,-1,0.4,-3.3,3.3,1.9,9,-1.4,16
2019,1,-13,16.3,-10.6,1.1,-3.2,1.3,-5.4,9.8,-3,7.9,-11.5,2,-2,3.4,-6.2,-2.3,1,35
2019,1,-5,1.4,2.7,-0.6,1.5,0.7,1.7,-0.9,4.7,5.3,-0.9,-1.4,-3.6,1.4,0.5,-2.6,2.2,4
2019,1,-11,23.2,0,6.4,3.4,-2,0.1,2.4,2.2,1,-0.7,5.6,6.5,7.4,3.7,2.5,1.8,13
2019,1,3,3.6,6.8,3.7,2.9,1.2,-2.5,-7.6,0.1,4.7,-1.7,3.5,2.7,3.8,8.4,1.9,-3.1,7
2019,1,-13,13.3,-9.9,-0.6,-2.6,-3.5,0.2,1.4,3.1,4.9,6.7,1.4,-5.5,1.9,-5.8,-2.8,1.5,7
2019,1,-13,8,-17.3,-4.5,-6,-3.4,-1.2,-2.7,-0.1,-4.1,-13.2,0.6,-8.4,-3.8,-5,-3.6,-5.3,19
2019,1,3,-2.4,-4.1,-3.9,0.4,3.3,3.2,3.4,7.3,-10.9,5.6,1.3,1.7,-5.4,2.2,-1.3,-1.6,9
2019,1,1,4.1,5,1.6,1,1.2,-4.5,7.7,-4,-4.5,2.2,-0.8,-3.8,1.9,0.6,0.8,1.6,9
2019,1,-11,7,-15.9,-1.1,-6.1,-0.1,4.4,-3.2,2.7,-1.9,1.4,6.1,-3.1,-2.2,-8,0.5,-2.3,15
